City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,hadibu,12.65,54.0333,24.65,80,82,9.33,YE,12-18-2023
163,aoulef,26.9667,1.0833,14.48,27,1,7.55,DZ,12-18-2023
164,ilabaya,-17.4208,-70.5133,25.06,51,87,5.37,PE,12-18-2023
165,huicheng,23.0385,116.2899,15.27,93,20,3.62,CN,12-18-2023
166,mili,6.0815,171.735,26.0,91,100,11.41,MH,12-18-2023
167,keflavik,64.0049,-22.5624,2.95,80,40,3.6,IS,12-18-2023
168,glenwood springs,39.5505,-107.3248,7.57,24,0,5.14,US,12-18-2023
169,udachny,66.4167,112.4,-31.02,100,94,1.46,RU,12-18-2023
170,tual,-5.6667,132.75,28.47,79,75,5.72,ID,12-18-2023
171,bantogon,6.5333,124.0333,26.28,82,99,2.54,PH,12-18-2023
172,pingxiang,27.6167,113.85,1.3,93,100,1.01,CN,12-18-2023
173,igrim,63.1906,64.4162,-13.25,92,100,5.03,RU,12-18-2023
174,balachor,31.0667,76.3167,13.02,39,0,3.25,IN,12-18-2023
175,wailua homesteads,22.0669,-159.378,20.44,89,40,8.23,US,12-18-2023
176,dadukou,26.5479,101.7054,11.76,68,0,0.57,CN,12-18-2023
177,sandnessjoen,66.0217,12.6316,5.23,81,75,6.17,NO,12-18-2023
178,independence,39.0911,-94.4155,1.17,55,0,7.72,US,12-18-2023
179,nowogrod bobrzanski,51.7986,15.2352,5.51,80,71,4.26,PL,12-18-2023
180,arraial do cabo,-22.9661,-42.0278,27.92,69,40,8.75,BR,12-18-2023
181,skelleftea,64.7507,20.9528,3.33,96,0,6.17,SE,12-18-2023
182,touros,-5.1989,-35.4608,28.76,68,100,4.86,BR,12-18-2023
183,kharod,21.75,82.5667,17.22,42,95,1.67,IN,12-18-2023
184,saint-pierre,-21.3393,55.4781,27.82,74,0,1.54,RE,12-18-2023
185,gebeit,21.0667,36.3167,21.67,46,3,5.69,SD,12-18-2023
186,okhotsk,59.3833,143.3,-24.18,82,98,8.58,RU,12-18-2023
187,constantia,44.1833,28.65,6.5,68,62,5.02,RO,12-18-2023
188,ambon,-3.6954,128.1814,27.27,14,40,2.57,ID,12-18-2023
189,smarhon,54.4791,26.3934,3.89,98,100,4.17,BY,12-18-2023
190,klyuchi,52.2667,79.1667,-15.51,68,93,6.03,RU,12-18-2023
191,windhoek,-22.5594,17.0832,30.39,17,97,4.94,NA,12-18-2023
192,xilin hot,43.9667,116.0333,-22.57,97,100,4.3,CN,12-18-2023
193,huarmey,-10.0681,-78.1522,23.79,77,95,4.81,PE,12-18-2023
194,san matias,-16.3667,-58.4,41.17,23,25,4.28,BO,12-18-2023
195,flin flon,54.7682,-101.865,-8.09,73,75,6.17,CA,12-18-2023
196,aden,12.7794,45.0367,25.57,44,91,6.46,YE,12-18-2023
197,bakanas,44.8081,76.2772,-7.11,86,57,2.62,KZ,12-18-2023
198,kone,-21.0595,164.8658,25.0,79,98,1.32,NC,12-18-2023
199,magadan,59.5667,150.8,-23.95,88,77,5.51,RU,12-18-2023
200,chongwe,-15.3292,28.682,30.32,65,78,1.97,ZM,12-18-2023
201,nizhneudinsk,54.9076,99.0276,-22.32,99,100,0.21,RU,12-18-2023
202,kerch,45.3583,36.4758,6.42,84,100,7.15,UA,12-18-2023
203,arar,30.9753,41.0381,12.01,71,0,1.54,SA,12-18-2023
204,ende,-8.8432,121.6623,26.57,83,100,3.32,ID,12-18-2023
205,cockburn town,21.4612,-71.1419,26.41,85,92,9.11,TC,12-18-2023
206,longyearbyen,78.2186,15.6401,-3.09,68,20,8.23,SJ,12-18-2023
207,richards bay,-28.783,32.0377,24.78,86,72,4.85,ZA,12-18-2023
208,kwakoa,-3.7667,37.7167,24.06,76,75,2.92,TZ,12-18-2023
209,kodiak,57.79,-152.4072,-0.27,80,100,6.17,US,12-18-2023
210,international falls,48.6011,-93.411,-13.9,79,49,4.12,US,12-18-2023
211,morondava,-20.2833,44.2833,28.13,77,100,7.51,MG,12-18-2023
212,bei'an,24.5399,109.533,4.11,81,100,3.94,CN,12-18-2023
213,sao paulo de olivenca,-3.3783,-68.8725,28.83,84,95,0.69,BR,12-18-2023
214,la passe,45.5549,-0.8967,3.13,69,0,1.55,FR,12-18-2023
215,isafjordur,66.0755,-23.124,-4.98,80,40,0.0,IS,12-18-2023
216,vilyuysk,63.7553,121.6247,-35.01,99,100,2.1,RU,12-18-2023
217,tyukhtet,56.5389,89.3011,-25.88,89,9,3.59,RU,12-18-2023
218,raychikhinsk,49.7838,129.4121,-36.68,100,12,1.82,RU,12-18-2023
219,sakaiminato,35.55,133.2333,4.99,75,75,2.57,JP,12-18-2023
220,awjilah,29.1081,21.2869,17.27,54,3,4.2,LY,12-18-2023
